profession_code;profession_name;active;category;date_creation;date_creation_mistake;date_modify;date_modify_mistake;deleted;etks
207124;Главный государственный инспектор по качеству сельскохозяйственной продукции и продуктов ее переработки;t;1;2015-04-21;0;2015-04-21;0;f;
119972;Заготовитель продуктов и сырья;t;3;2015-04-21;0;2015-04-21;0;f;1
106756;Аппаратчик приготовления зубоврачебных материалов;t;2-4;2015-04-21;0;2015-04-21;0;f;31
247013;Начальник отдела (материально-технического снабжения);t;1;2015-04-21;0;2015-04-21;0;f;
105293;Аппаратчик - подслойщик фотостекла;t;3-5;2015-04-21;0;2015-04-21;0;f;34
189710;Сушильщик пленки бутафоль;t;3-4;2015-04-21;0;2015-04-21;0;f;34
142860;Машинист угольных мельниц;t;4-5;2015-04-21;0;2015-04-21;0;f;42
183447;Сварщик печной сварки труб;t;4-6;2015-04-21;0;2015-04-21;0;f;7
267604;Судебный пристав-исполнитель;t;2;2015-04-21;0;2015-04-21;0;f;
210199;Главный хормейстер;t;1;2015-04-21;0;2015-04-21;0;f;
109720;Аппаратчик средоварения;t;2-4;2015-04-21;0;2015-04-21;0;f;31
177709;Распиловщик камня;t;2-4;2015-04-21;0;2015-04-21;0;f;65
112390;Бригадир обдирочно-зачистного отделения;t;;2015-04-21;0;2015-04-21;0;f;7
146039;Монтажник оборудования сортировочных горок;t;2-6;2015-04-21;0;2015-04-21;0;f;3
274256;Художник-глазопротезист;t;2;2015-04-21;0;2015-04-21;0;f;
120607;Заготовщик такелажа инженерного имущества;t;2-4;2015-04-21;0;2015-04-21;0;f;33
134671;Маслодел-мастер;t;5-6;2015-04-21;0;2015-04-21;0;f;52
167119;Подготовитель белья для глажения;t;1-2;2015-04-21;0;2015-04-21;0;f;66
236324;Культорганизатор;t;2;2015-04-21;0;2015-04-21;0;f;
118607;Дозировщик асбеста;t;2-3;2015-04-21;0;2015-04-21;0;f;42
196589;Шлифовщик подносов;t;3-4;2015-04-21;0;2015-04-21;0;f;65
213457;Директор (начальник) вычислительного (информационно-вычислительного) центра;t;1;2015-04-21;0;2015-04-21;0;f;
424579;Инженер-вакуумщик;t;2;2015-04-21;0;2015-04-21;0;f;
262066;Руководитель Службы протокола Администрации Президента Российской Федерации;t;1;2015-04-21;0;2015-04-21;0;f;
173918;Промывальщик геологических проб;t;2-5;2015-04-21;0;2015-04-21;0;f;5
233186;Кандидат в космонавты-исследователи;t;2;2015-04-21;0;2015-04-21;0;f;
216509;Диспетчер внутришахтного (шахтного) транспорта;t;2;2015-04-21;0;2015-04-21;0;f;
127822;Клейщик;t;1-4;2015-04-21;0;2015-04-21;0;f;49
180720;Рецептурщик;t;2-4;2015-04-21;0;2015-04-21;0;f;55
179865;Резьбошлифовщик;t;2-6;2015-04-21;0;2015-04-21;0;f;2
239178;Мастер по ремонту гидросооружений;t;1;2015-04-21;0;2015-04-21;0;f;
149075;Наладчик асбестоцементного оборудования;t;4-6;2015-04-21;0;2015-04-21;0;f;42
109843;Аппаратчик-сульфировщик;t;5;2015-04-21;0;2015-04-21;0;f;48
108639;Аппаратчик производства топленого масла;t;2, 4;2015-04-21;0;2015-04-21;0;f;52
270151;Техник объективного контроля;t;2;2015-04-21;0;2015-04-21;0;f;
140742;Машинист пропиточного агрегата;t;2-5;2015-04-21;0;2015-04-21;0;f;33
210574;Государственный инспектор по качеству сельскохозяйственной продукции и продуктов ее переработки;t;1;2015-04-21;0;2015-04-21;0;f;
144550;Механик по техническим видам спорта;t;4-6;2015-04-21;0;2015-04-21;0;f;1
127634;Классировщик шерсти и пуха;t;5-6;2015-04-21;0;2015-04-21;0;f;70
235209;Консультант в аппарате Конституционного Суда Российской Федерации;t;2;2015-04-21;0;2015-04-21;0;f;
222529;Заместитель председателя Высшего Арбитражного Суда Российской Федерации;t;1;2015-04-21;0;2015-04-21;0;f;
170983;Прессовщик рядна из-под табака;t;2;2015-04-21;0;2015-04-21;0;f;55
170245;Прессовщик картонажных изделий;t;1-3;2015-04-21;0;2015-04-21;0;f;41
119737;Заварщик;t;2-3;2015-04-21;0;2015-04-21;0;f;47
113355;Вальцовщик обкатной машины;t;4-6;2015-04-21;0;2015-04-21;0;f;7
219526;Заведующий грузовым двором;t;1;2015-04-21;0;2015-04-21;0;f;
176890;Разрисовщик обоев;t;4;2015-04-21;0;2015-04-21;0;f;41
127343;Кварцеплавильщик;t;4-6;2015-04-21;0;2015-04-21;0;f;44
216655;Диспетчер дорожный;t;2;2015-04-21;0;2015-04-21;0;f;
153174;Обработчик натриевых болванок;t;3;2015-04-21;0;2015-04-21;0;f;32
123893;Изготовитель перопуховых изделий;t;3-4;2015-04-21;0;2015-04-21;0;f;52
138738;Машинист мельниц;t;2-5;2015-04-21;0;2015-04-21;0;f;24
193129;Установщик бурильных замков;t;4;2015-04-21;0;2015-04-21;0;f;6
137966;Машинист-крановщик;t;4-6;2015-04-21;0;2015-04-21;0;f;39
119120;Дробильщик извести;t;3-4;2015-04-21;0;2015-04-21;0;f;42
215440;Директор станции (госсортостанции, лесосеменной, машиноиспытательной и др.);t;1;2015-04-21;0;2015-04-21;0;f;
136893;Машинист двигателей внутреннего сгорания;t;2-6;2015-04-21;0;2015-04-21;0;f;1
